trial,num_pubs,num_subs,brake_limit,encrypted,sub_id,sub_lat,sub_lon,optimal_pub_id,optimal_dist,received_pub_id,received_dist,stretch,recall,num_received,latency_ms
0,10,50,4,1,0,86.7168,-101.214,1,63.6232,1,63.6232,1,1,2,352.922
0,10,50,4,1,1,-8.20873,6.71545,1,54.2738,1,54.2738,1,1,2,352.924
0,10,50,4,1,2,13.2915,19.8832,1,48.5146,1,48.5146,1,1,2,352.926
0,10,50,4,1,3,41.1383,46.3946,9,47.2368,9,47.2368,1,1,3,352.996
0,10,50,4,1,4,53.3031,30.1377,1,45.9897,1,45.9897,1,1,2,352.928
0,10,50,4,1,5,-40.542,118.655,5,25.3886,5,25.3886,1,1,3,352.997
0,10,50,4,1,6,74.4624,167.545,3,55.2627,3,55.2627,1,1,3,352.998
0,10,50,4,1,7,-44.6247,-136.82,6,12.6427,6,12.6427,1,1,4,353.028
0,10,50,4,1,8,-51.2045,139.912,7,29.7058,7,29.7058,1,1,4,353.029
0,10,50,4,1,9,87.0422,6.18704,1,55.3077,1,55.3077,1,1,2,352.935
0,10,50,4,1,10,74.4421,-54.5183,1,43.0174,1,43.0174,1,1,2,352.936
0,10,50,4,1,11,-39.1379,-96.6861,2,14.5086,2,14.5086,1,1,2,352.937
0,10,50,4,1,12,-2.82805,-39.8475,1,38.8805,1,38.8805,1,1,2,352.939
0,10,50,4,1,13,88.5778,23.7459,1,59.6157,1,59.6157,1,1,2,352.94
0,10,50,4,1,14,79.2484,20.4303,1,52.1558,1,52.1558,1,1,2,352.941
0,10,50,4,1,15,-34.3383,151.93,5,50.1833,5,50.1833,1,1,3,353.002
0,10,50,4,1,16,49.6081,94.9059,3,38.0901,3,38.0901,1,1,3,353.003
0,10,50,4,1,17,-10.6771,-54.2007,1,51.8334,1,51.8334,1,1,2,352.947
0,10,50,4,1,18,-32.6055,-119.078,6,10.151,6,10.151,1,1,3,353.006
0,10,50,4,1,19,86.097,-138.605,1,75.5449,1,75.5449,1,1,2,352.949
0,10,50,4,1,20,45.5301,-88.8902,1,48.0966,1,48.0966,1,1,2,352.95
