trial,num_pubs,num_subs,brake_limit,sub_id,sub_lat,sub_lon,optimal_pub_id,optimal_dist,received_pub_id,received_dist,stretch,recall,num_received
0,10,50,2,0,86.7168,-101.214,1,63.6232,1,63.6232,1,1,2
0,10,50,2,1,-8.20873,6.71545,1,54.2738,1,54.2738,1,1,2
0,10,50,2,2,13.2915,19.8832,1,48.5146,1,48.5146,1,1,2
0,10,50,2,3,41.1383,46.3946,9,47.2368,9,47.2368,1,1,3
0,10,50,2,4,53.3031,30.1377,1,45.9897,1,45.9897,1,1,2
0,10,50,2,5,-40.542,118.655,5,25.3886,5,25.3886,1,1,3
0,10,50,2,6,74.4624,167.545,3,55.2627,3,55.2627,1,1,3
0,10,50,2,7,-44.6247,-136.82,6,12.6427,2,31.9835,2.52981,0,2
0,10,50,2,8,-51.2045,139.912,7,29.7058,7,29.7058,1,1,4
0,10,50,2,9,87.0422,6.18704,1,55.3077,1,55.3077,1,1,2
0,10,50,2,10,74.4421,-54.5183,1,43.0174,1,43.0174,1,1,2
0,10,50,2,11,-39.1379,-96.6861,2,14.5086,2,14.5086,1,1,2
0,10,50,2,12,-2.82805,-39.8475,1,38.8805,1,38.8805,1,1,2
0,10,50,2,13,88.5778,23.7459,1,59.6157,1,59.6157,1,1,2
0,10,50,2,14,79.2484,20.4303,1,52.1558,1,52.1558,1,1,2
0,10,50,2,15,-34.3383,151.93,5,50.1833,5,50.1833,1,1,3
0,10,50,2,16,49.6081,94.9059,3,38.0901,3,38.0901,1,1,3
0,10,50,2,17,-10.6771,-54.2007,1,51.8334,1,51.8334,1,1,2
0,10,50,2,18,-32.6055,-119.078,6,10.151,2,29.4666,2.90283,0,2
0,10,50,2,19,86.097,-138.605,1,75.5449,1,75.5449,1,1,2
0,10,50,2,20,45.5301,-88.8902,1,48.0966,1,48.0966,1,1,2
0,10,50,2,21,80.0252,59.985,1,66.0299,1,66.0299,1,1,2
0,10,50,2,22,-50.6727,-109.199,2,12.1101,2,12.1101,1,1,2
0,10,50,2,23,51.5826,-23.7544,1,17.5334,1,17.5334,1,1,2
0,10,50,2,24,-74.6437,97.2496,7,3.98853,7,3.98853,1,1,2
0,10,50,2,25,81.2163,179.597,3,63.7995,3,63.7995,1,1,3
0,10,50,2,26,-68.6344,-95.8432,2,16.0226,2,16.0226,1,1,2
0,10,50,2,27,-48.5447,37.0752,8,28.1695,7,36.2855,1.28812,0,3
0,10,50,2,28,22.1547,-99.9337,6,63.1167,1,64.6133,1.02371,0,2
0,10,50,2,29,-59.5895,22.806,8,15.8025,7,31.8433,2.01508,0,2
0,10,50,2,30,50.2483,-7.85559,1,21.7697,1,21.7697,1,1,2
0,10,50,2,31,-2.63178,19.7129,1,58.8516,1,58.8516,1,1,2
0,10,50,2,32,-46.4749,153.382,7,39.3912,7,39.3912,1,1,4
0,10,50,2,33,72.7561,21.8393,1,48.4955,1,48.4955,1,1,2
0,10,50,2,34,-72.8476,137.706,7,13.8426,7,13.8426,1,1,2
0,10,50,2,35,31.6172,125.365,3,8.56684,3,8.56684,1,1,3
0,10,50,2,36,-65.592,43.2849,8,12.8027,7,19.4891,1.52226,0,2
