trial,num_pubs,num_subs,brake_limit,sub_id,sub_lat,sub_lon,optimal_pub_id,optimal_dist,received_pub_id,received_dist,stretch,recall,num_received
0,100,10,4,0,62.9269,124.506,80,9.95505,80,9.95505,1,1,6
0,100,10,4,1,-62.5476,159.979,88,6.64041,88,6.64041,1,1,6
0,100,10,4,2,0.125473,52.7951,56,10.8757,56,10.8757,1,1,8
0,100,10,4,3,72.7774,43.3494,43,6.37266,43,6.37266,1,1,8
0,100,10,4,4,20.0535,-71.8794,91,17.6197,91,17.6197,1,1,8
0,100,10,4,5,53.4475,-75.7333,48,4.33507,48,4.33507,1,1,6
0,100,10,4,6,53.7604,1.68779,40,6.84467,40,6.84467,1,1,5
0,100,10,4,7,17.9674,148.965,3,18.0828,3,18.0828,1,1,3
0,100,10,4,8,-26.3282,-150.943,6,18.3986,6,18.3986,1,1,4
0,100,10,4,9,31.506,-69.0508,91,5.92016,91,5.92016,1,1,4
1,100,10,4,0,13.5508,48.2533,70,4.41926,70,4.41926,1,1,3
1,100,10,4,1,30.3306,-96.4871,20,16.8078,20,16.8078,1,1,3
1,100,10,4,2,-12.9341,-96.1818,6,4.86788,6,4.86788,1,1,3
1,100,10,4,3,82.6438,127.232,67,5.06657,67,5.06657,1,1,7
1,100,10,4,4,55.3889,-50.0986,12,7.81442,12,7.81442,1,1,3
1,100,10,4,5,31.669,171.339,33,30.4363,33,30.4363,1,1,4
1,100,10,4,6,48.4455,65.4139,69,2.57836,69,2.57836,1,1,7
1,100,10,4,7,-34.4466,-19.1845,36,6.62139,36,6.62139,1,1,6
1,100,10,4,8,-70.7019,-66.6966,32,9.16521,32,9.16521,1,1,2
1,100,10,4,9,62.1743,73.0541,69,13.0109,69,13.0109,1,1,8
2,100,10,4,0,68.2383,-100.484,15,6.62869,15,6.62869,1,1,6
2,100,10,4,1,1.67564,153.294,73,22.3484,73,22.3484,1,1,7
2,100,10,4,2,-50.4786,30.9098,16,6.37845,16,6.37845,1,1,5
2,100,10,4,3,7.82853,76.578,97,12.9558,97,12.9558,1,1,5
2,100,10,4,4,-66.9953,-127.766,5,7.69831,5,7.69831,1,1,3
2,100,10,4,5,-7.02393,-129.832,61,21.7007,61,21.7007,1,1,5
2,100,10,4,6,54.6116,-114.039,15,8.41507,15,8.41507,1,1,4
2,100,10,4,7,87.9298,-149.859,8,3.59924,8,3.59924,1,1,4
2,100,10,4,8,-81.1738,-3.43155,32,4.32016,32,4.32016,1,1,7
2,100,10,4,9,-74.566,82.7513,53,9.96626,53,9.96626,1,1,9
3,100,10,4,0,61.2292,-88.1269,32,7.62692,32,7.62692,1,1,6
3,100,10,4,1,-25.6278,102.803,88,14.3715,88,14.3715,1,1,5
3,100,10,4,2,43.2998,-33.2494,10,7.13575,10,7.13575,1,1,5
3,100,10,4,3,57.855,-150.3,5,10.4411,5,10.4411,1,1,3
3,100,10,4,4,-63.1339,12.2071,74,7.93294,74,7.93294,1,1,6
3,100,10,4,5,7.04595,-14.8565,51,13.9071,51,13.9071,1,1,3
3,100,10,4,6,4.51937,-98.5896,19,10.1252,19,10.1252,1,1,6
3,100,10,4,7,-60.4473,97.2707,4,8.73222,4,8.73222,1,1,3
3,100,10,4,8,14.9588,-51.1888,94,13.7576,94,13.7576,1,1,4
3,100,10,4,9,-57.7413,-96.9932,78,11.411,78,11.411,1,1,7
4,100,10,4,0,-21.7173,144.168,78,4.82955,78,4.82955,1,1,7
4,100,10,4,1,-54.0455,-178.714,21,9.00373,21,9.00373,1,1,4
4,100,10,4,2,56.9333,-86.4683,42,6.53289,42,6.53289,1,1,4
4,100,10,4,3,-36.4277,-104.485,28,23.5735,28,23.5735,1,1,4
4,100,10,4,4,70.6265,-80.8625,42,7.38095,42,7.38095,1,1,3
4,100,10,4,5,59.7611,-115.827,1,3.89234,1,3.89234,1,1,2
4,100,10,4,6,-26.2001,34.9701,88,13.702,88,13.702,1,1,8
4,100,10,4,7,-66.293,173.128,83,5.28462,83,5.28462,1,1,8
4,100,10,4,8,80.841,149.359,89,13.1292,89,13.1292,1,1,5
4,100,10,4,9,84.8896,-111.776,37,5.61595,37,5.61595,1,1,3
