trial,num_pubs,num_subs,brake_limit,sub_id,sub_lat,sub_lon,sub_broker,optimal_pub_id,optimal_dist,received,received_pub_id,received_dist,stretch,recall
1,20,50,1,14,20.0535,-71.8794,1,13,41.0299,1,13,41.0299,1,1
1,20,50,1,15,53.4475,-75.7333,1,13,11.9845,1,13,11.9845,1,1
1,20,50,1,16,53.7604,1.68779,1,2,13.9759,1,2,13.9759,1,1
1,20,50,1,17,17.9674,148.965,2,17,25.1356,1,17,25.1356,1,1
1,20,50,1,18,-26.3282,-150.943,1,19,32.755,1,19,32.755,1,1
1,20,50,1,19,31.506,-69.0508,1,13,31.5853,1,13,31.5853,1,1
1,20,50,1,20,-74.1682,-31.2636,1,5,12.7815,1,5,12.7815,1,1
1,20,50,1,21,-68.3466,136.586,2,18,11.3122,1,18,11.3122,1,1
1,20,50,1,22,5.48862,-78.6323,1,11,36.3578,1,11,36.3578,1,1
1,20,50,1,23,20.5237,43.0693,2,6,3.36721,1,6,3.36721,1,1
1,20,50,1,24,-43.8054,29.5798,2,5,29.4546,1,5,29.4546,1,1
1,20,50,1,25,-78.0407,-141.757,1,7,15.3901,1,7,15.3901,1,1
1,20,50,1,26,-12.9572,-101.177,1,0,14.4005,1,0,14.4005,1,1
1,20,50,1,27,-80.889,154.337,2,18,12.9026,1,18,12.9026,1,1
1,20,50,1,28,65.8092,163.777,2,12,14.0759,1,12,14.0759,1,1
1,20,50,1,29,8.84301,-8.27457,1,3,20.4118,1,3,20.4118,1,1
1,20,50,1,30,-44.0513,-55.419,1,11,22.3293,1,11,22.3293,1,1
1,20,50,1,31,47.996,-160.582,1,8,26.2455,1,8,26.2455,1,1
1,20,50,1,32,63.1344,-48.0732,1,2,15.5086,1,2,15.5086,1,1
1,20,50,1,33,84.1916,-106.387,1,13,27.9339,1,13,27.9339,1,1
1,20,50,1,34,-9.50831,51.3952,2,6,34.5325,1,6,34.5325,1,1
1,20,50,1,35,2.28083,12.647,2,6,35.7971,1,6,35.7971,1,1
1,20,50,1,36,-79.9342,47.8683,2,4,5.10673,1,4,5.10673,1,1
1,20,50,1,37,-15.3837,31.1089,2,6,40.6289,1,6,40.6289,1,1
1,20,50,1,38,74.618,-169.72,1,13,35.5225,1,13,35.5225,1,1
1,20,50,1,39,-52.9109,-118.375,1,7,11.6579,1,7,11.6579,1,1
1,20,50,1,40,19.9299,-81.9033,1,13,38.1759,1,13,38.1759,1,1
1,20,50,1,41,-40.0659,-166.054,1,7,37.997,1,7,37.997,1,1
1,20,50,1,42,-1.53992,-61.9098,1,11,21.5341,1,11,21.5341,1,1
1,20,50,1,43,84.1411,-51.4614,1,2,20.9988,1,2,20.9988,1,1
1,20,50,1,44,-39.0664,5.96826,1,5,32.6547,1,5,32.6547,1,1
1,20,50,1,45,60.132,13.7646,2,2,13.2574,1,2,13.2574,1,1
1,20,50,1,46,65.2746,36.2562,2,15,15.2366,1,15,15.2366,1,1
1,20,50,1,47,16.5914,76.8181,2,6,33.4178,1,6,33.4178,1,1
1,20,50,1,48,84.0915,21.5661,2,2,20.4125,1,2,20.4125,1,1
1,20,50,1,49,75.2153,-30.8336,1,2,11.2706,1,2,11.2706,1,1
2,20,50,1,0,-74.6516,50.8514,2,13,7.64742,1,13,7.64742,1,1
2,20,50,1,1,35.5882,-32.8266,1,11,22.899,1,11,22.899,1,1
2,20,50,1,2,-77.7793,86.3078,2,7,6.58259,1,7,6.58259,1,1
2,20,50,1,3,-49.7149,116.122,2,7,32.738,1,7,32.738,1,1
2,20,50,1,4,44.8608,-37.4944,1,11,31.2855,1,11,31.2855,1,1
