trial,num_pubs,num_subs,brake_limit,sub_id,sub_lat,sub_lon,optimal_pub_id,optimal_dist,received_pub_id,received_dist,stretch,recall,num_received
1,100,50,4,17,6.18233,0.678299,54,11.7757,54,11.7757,1,1,5
1,100,50,4,18,-87.4876,43.5658,33,0.961382,33,0.961382,1,1,7
1,100,50,4,19,-66.9551,-172.53,75,16.5523,75,16.5523,1,1,5
1,100,50,4,20,41.695,143.401,99,16.0772,99,16.0772,1,1,6
1,100,50,4,21,-48.3081,162.451,13,30.4201,13,30.4201,1,1,5
1,100,50,4,22,82.3143,-163.945,44,1.40078,44,1.40078,1,1,8
1,100,50,4,23,-83.9887,65.3022,33,4.1136,33,4.1136,1,1,6
1,100,50,4,24,-38.5471,167.199,40,24.1968,40,24.1968,1,1,5
1,100,50,4,25,-16.8803,48.5886,37,13.5467,37,13.5467,1,1,7
1,100,50,4,26,6.9244,118.159,93,21.1827,93,21.1827,1,1,9
1,100,50,4,27,-9.45243,9.18321,48,17.8752,48,17.8752,1,1,7
1,100,50,4,28,-15.6652,93.8305,76,3.63452,76,3.63452,1,1,7
1,100,50,4,29,-89.2409,-153.802,94,0.635022,94,0.635022,1,1,8
1,100,50,4,30,39.398,-47.5265,80,5.38489,80,5.38489,1,1,5
1,100,50,4,31,11.7582,-118.953,2,7.48855,2,7.48855,1,1,2
1,100,50,4,32,56.7424,-144.119,59,1.9337,59,1.9337,1,1,5
1,100,50,4,33,30.8627,118.51,79,10.8647,79,10.8647,1,1,9
1,100,50,4,34,39.7235,107.815,23,6.14664,23,6.14664,1,1,5
1,100,50,4,35,62.9899,-17.163,70,8.08401,70,8.08401,1,1,8
1,100,50,4,36,35.6082,-150.636,4,18.2296,4,18.2296,1,1,3
1,100,50,4,37,-17.3561,55.8449,37,6.96845,37,6.96845,1,1,6
1,100,50,4,38,-67.2906,-22.6895,50,8.86138,50,8.86138,1,1,5
1,100,50,4,39,-29.4264,-31.6754,67,11.7289,67,11.7289,1,1,5
1,100,50,4,40,-17.7455,87.3864,76,3.74674,76,3.74674,1,1,6
1,100,50,4,41,-81.5434,158.358,33,10.8311,33,10.8311,1,1,6
1,100,50,4,42,12.7725,-1.99165,54,4.68485,54,4.68485,1,1,5
1,100,50,4,43,-6.2295,174.214,40,9.6803,40,9.6803,1,1,6
1,100,50,4,44,-44.0806,-10.9408,67,11.5564,67,11.5564,1,1,5
1,100,50,4,45,-79.794,170.635,33,14.0784,33,14.0784,1,1,6
1,100,50,4,46,60.7663,43.9285,92,8.35142,92,8.35142,1,1,6
1,100,50,4,47,-64.1589,55.0175,10,10.5945,10,10.5945,1,1,4
1,100,50,4,48,39.9048,113.408,23,5.29977,23,5.29977,1,1,6
1,100,50,4,49,-3.23651,-20.7434,22,5.93109,22,5.93109,1,1,4
2,100,50,4,0,-81.6575,121.427,31,4.25083,31,4.25083,1,1,4
2,100,50,4,1,-26.1147,53.991,69,1.52143,69,1.52143,1,1,9
2,100,50,4,2,-73.7183,128.373,92,5.45431,92,5.45431,1,1,6
2,100,50,4,3,34.4877,63.5897,44,5.25526,44,5.25526,1,1,6
2,100,50,4,4,-69.3538,24.4297,7,8.67846,7,8.67846,1,1,4
2,100,50,4,5,-39.8327,-97.0738,76,12.7877,76,12.7877,1,1,6
2,100,50,4,6,-18.7247,-88.5997,70,6.65559,70,6.65559,1,1,3
2,100,50,4,7,30.5943,-4.25607,97,13.7227,97,13.7227,1,1,7
2,100,50,4,8,-60.4926,-75.4179,71,13.4763,71,13.4763,1,1,7
2,100,50,4,9,-64.414,51.9609,7,12.2412,7,12.2412,1,1,4
2,100,50,4,10,85.0154,-122.088,47,3.14774,47,3.14774,1,1,6
2,100,50,4,11,73.9817,117.762,38,20.8458,38,20.8458,1,1,4
2,100,50,4,12,25.5103,50.2279,93,6.10317,93,6.10317,1,1,9
2,100,50,4,13,-38.6703,175.107,12,33.7009,12,33.7009,1,1,5
2,100,50,4,14,-26.3349,-141.083,25,22.115,25,22.115,1,1,5
2,100,50,4,15,-66.522,-35.9848,57,10.4454,57,10.4454,1,1,7
2,100,50,4,16,80.172,-5.27345,3,4.7841,3,4.7841,1,1,3
2,100,50,4,17,-80.9969,-167.093,85,9.03674,85,9.03674,1,1,9
2,100,50,4,18,-28.45,86.9817,98,8.72041,98,8.72041,1,1,11
2,100,50,4,19,38.2486,-15.6077,97,2.90981,97,2.90981,1,1,7
2,100,50,4,20,-34.2943,176.832,12,36.4691,12,36.4691,1,1,5
2,100,50,4,21,33.6592,73.9619,44,10.8179,44,10.8179,1,1,6
2,100,50,4,22,-45.884,-51.4928,19,5.95223,19,5.95223,1,1,4
2,100,50,4,23,-55.1471,-32.7533,46,4.36298,46,4.36298,1,1,6
2,100,50,4,24,26.5446,-59.1223,0,6.06474,0,6.06474,1,1,1
2,100,50,4,25,-80.3962,43.1201,7,4.1783,7,4.1783,1,1,4
2,100,50,4,26,-0.605003,167.171,21,14.0622,21,14.0622,1,1,9
2,100,50,4,27,-9.55903,-130.19,25,2.55969,25,2.55969,1,1,4
2,100,50,4,28,18.6994,83.5414,17,1.11104,17,1.11104,1,1,6
2,100,50,4,29,-67.5414,164.729,92,8.19075,92,8.19075,1,1,4
2,100,50,4,30,61.2292,-88.1269,62,7.62692,62,7.62692,1,1,4
2,100,50,4,31,-25.6278,102.803,98,23.0592,98,23.0592,1,1,9
2,100,50,4,32,43.2998,-33.2494,40,7.13575,40,7.13575,1,1,3
2,100,50,4,33,57.855,-150.3,35,10.4411,35,10.4411,1,1,5
2,100,50,4,34,-63.1339,12.2071,57,13.4983,57,13.4983,1,1,6
2,100,50,4,35,7.04595,-14.8565,81,13.9071,81,13.9071,1,1,5
2,100,50,4,36,4.51937,-98.5896,49,10.1252,49,10.1252,1,1,5
2,100,50,4,37,-60.4473,97.2707,34,8.73222,34,8.73222,1,1,6
2,100,50,4,38,14.9588,-51.1888,0,10.5095,0,10.5095,1,1,1
2,100,50,4,39,-57.7413,-96.9932,24,17.0096,24,17.0096,1,1,4
2,100,50,4,40,34.8444,-96.2749,86,17.4918,86,17.4918,1,1,4
2,100,50,4,41,63.0635,-111.521,56,6.27375,56,6.27375,1,1,4
2,100,50,4,42,-54.552,-72.9911,71,7.67788,71,7.67788,1,1,6
2,100,50,4,43,-30.8553,108.295,12,20.9991,12,20.9991,1,1,7
2,100,50,4,44,-84.7248,-16.7935,48,1.87759,48,1.87759,1,1,8
2,100,50,4,45,46.512,133.009,11,8.41108,11,8.41108,1,1,5
2,100,50,4,46,37.5398,-138.232,80,20.2362,80,20.2362,1,1,7
2,100,50,4,47,27.9057,-18.3207,66,6.96164,66,6.96164,1,1,4
2,100,50,4,48,4.25945,-8.47864,33,10.8622,33,10.8622,1,1,4
2,100,50,4,49,5.68944,62.2511,94,9.75522,94,9.75522,1,1,8
3,100,50,4,0,16.1852,97.4553,12,14.27,12,14.27,1,1,5
3,100,50,4,1,-78.5761,85.2785,74,8.42516,74,8.42516,1,1,5
3,100,50,4,2,-14.1256,47.9245,78,5.05394,78,5.05394,1,1,7
3,100,50,4,3,-19.5796,-175.71,26,11.6798,26,11.6798,1,1,5
3,100,50,4,4,-34.5595,-176.742,14,3.5258,14,3.5258,1,1,3
3,100,50,4,5,37.6787,67.4464,89,16.769,89,16.769,1,1,9
3,100,50,4,6,73.713,147.267,98,7.14291,98,7.14291,1,1,7
3,100,50,4,7,34.3663,81.2926,89,15.9673,89,15.9673,1,1,9
3,100,50,4,8,-59.6009,175.877,97,6.80799,97,6.80799,1,1,7
3,100,50,4,9,78.4039,-157.949,35,2.44152,35,2.44152,1,1,9
3,100,50,4,10,-42.4926,96.33,22,12.3415,22,12.3415,1,1,5
3,100,50,4,11,-46.8878,42.6147,64,8.66257,64,8.66257,1,1,4
3,100,50,4,12,-24.3499,-46.3616,42,16.317,42,16.317,1,1,4
3,100,50,4,13,17.8711,-67.0179,40,1.08335,40,1.08335,1,1,6
3,100,50,4,14,-38.5014,25.5214,23,6.69689,23,6.69689,1,1,3
3,100,50,4,15,0.603065,135.368,7,15.085,7,15.085,1,1,4
3,100,50,4,16,-28.5117,24.0539,96,9.9672,96,9.9672,1,1,5
3,100,50,4,17,20.323,94.7255,12,17.2219,12,17.2219,1,1,6
3,100,50,4,18,-54.0108,-178.513,91,0.12279,91,0.12279,1,1,3
3,100,50,4,19,49.5079,2.85945,28,18.0285,28,18.0285,1,1,5
3,100,50,4,20,-87.6274,-5.62671,48,4.083,48,4.083,1,1,2
3,100,50,4,21,-54.8471,152.171,97,15.3961,97,15.3961,1,1,6
