seed,trial,trial_seed,num_pubs,num_subs,brake_limit,encrypted,sub_id,sub_lat,sub_lon,optimal_pub_id,optimal_dist,received_pub_id,received_dist,stretch,recall,num_received,latency_ms,latency_per_pub_ms
42,0,42,10,200,4,0,0,86.7168,-101.214,1,63.6232,1,63.6232,1,1,2,115.316,101.893
42,0,42,10,200,4,0,1,-8.20873,6.71545,1,54.2738,1,54.2738,1,1,2,115.317,101.894
42,0,42,10,200,4,0,2,13.2915,19.8832,1,48.5146,1,48.5146,1,1,2,115.318,101.894
42,0,42,10,200,4,0,3,41.1383,46.3946,9,47.2368,9,47.2368,1,1,3,115.64,11.9308
42,0,42,10,200,4,0,4,53.3031,30.1377,1,45.9897,1,45.9897,1,1,2,115.319,101.895
42,0,42,10,200,4,0,5,-40.542,118.655,5,25.3886,5,25.3886,1,1,3,115.64,55.8358
42,0,42,10,200,4,0,6,74.4624,167.545,3,55.2627,3,55.2627,1,1,3,115.641,80.4642
42,0,42,10,200,4,0,7,-44.6247,-136.82,6,12.6427,6,12.6427,1,1,4,115.784,45.5961
42,0,42,10,200,4,0,8,-51.2045,139.912,7,29.7058,7,29.7058,1,1,4,115.784,34.5789
42,0,42,10,200,4,0,9,87.0422,6.18704,1,55.3077,1,55.3077,1,1,2,115.322,101.898
42,0,42,10,200,4,0,10,74.4421,-54.5183,1,43.0174,1,43.0174,1,1,2,115.322,101.899
42,0,42,10,200,4,0,11,-39.1379,-96.6861,2,14.5086,2,14.5086,1,1,2,115.323,90.8149
42,0,42,10,200,4,0,12,-2.82805,-39.8475,1,38.8805,1,38.8805,1,1,2,115.323,101.9
42,0,42,10,200,4,0,13,88.5778,23.7459,1,59.6157,1,59.6157,1,1,2,115.324,101.9
42,0,42,10,200,4,0,14,79.2484,20.4303,1,52.1558,1,52.1558,1,1,2,115.325,101.901
42,0,42,10,200,4,0,15,-34.3383,151.93,5,50.1833,5,50.1833,1,1,3,115.642,55.838
42,0,42,10,200,4,0,16,49.6081,94.9059,3,38.0901,3,38.0901,1,1,3,115.643,80.4664
42,0,42,10,200,4,0,17,-10.6771,-54.2007,1,51.8334,1,51.8334,1,1,2,115.326,101.903
42,0,42,10,200,4,0,18,-32.6055,-119.078,6,10.151,6,10.151,1,1,3,115.643,45.4556
42,0,42,10,200,4,0,19,86.097,-138.605,1,75.5449,1,75.5449,1,1,2,115.328,101.904
42,0,42,10,200,4,0,20,45.5301,-88.8902,1,48.0966,1,48.0966,1,1,2,115.328,101.904
42,0,42,10,200,4,0,21,80.0252,59.985,1,66.0299,1,66.0299,1,1,2,115.329,101.905
42,0,42,10,200,4,0,22,-50.6727,-109.199,2,12.1101,2,12.1101,1,1,2,115.329,90.8212
42,0,42,10,200,4,0,23,51.5826,-23.7544,1,17.5334,1,17.5334,1,1,2,115.33,101.906
42,0,42,10,200,4,0,24,-74.6437,97.2496,7,3.98853,7,3.98853,1,1,2,115.33,34.125
42,0,42,10,200,4,0,25,81.2163,179.597,3,63.7995,3,63.7995,1,1,3,115.644,80.4674
42,0,42,10,200,4,0,26,-68.6344,-95.8432,2,16.0226,2,16.0226,1,1,2,115.332,90.8236
42,0,42,10,200,4,0,27,-48.5447,37.0752,8,28.1695,8,28.1695,1,1,4,115.785,23.1567
42,0,42,10,200,4,0,28,22.1547,-99.9337,6,63.1167,6,63.1167,1,1,3,115.645,45.4573
42,0,42,10,200,4,0,29,-59.5895,22.806,8,15.8025,8,15.8025,1,1,3,115.646,23.0175
42,0,42,10,200,4,0,30,50.2483,-7.85559,1,21.7697,1,21.7697,1,1,2,115.334,101.91
42,0,42,10,200,4,0,31,-2.63178,19.7129,1,58.8516,1,58.8516,1,1,2,115.334,101.911
42,0,42,10,200,4,0,32,-46.4749,153.382,7,39.3912,7,39.3912,1,1,4,115.785,34.5801
42,0,42,10,200,4,0,33,72.7561,21.8393,1,48.4955,1,48.4955,1,1,2,115.335,101.912
42,0,42,10,200,4,0,34,-72.8476,137.706,7,13.8426,7,13.8426,1,1,2,115.337,34.1312
42,0,42,10,200,4,0,35,31.6172,125.365,3,8.56684,3,8.56684,1,1,3,115.647,80.4703
42,0,42,10,200,4,0,36,-65.592,43.2849,8,12.8027,8,12.8027,1,1,3,115.647,23.0192
42,0,42,10,200,4,0,37,2.67494,-52.5295,1,39.3245,1,39.3245,1,1,2,115.338,101.914
42,0,42,10,200,4,0,38,57.0429,-71.4849,1,37.9961,1,37.9961,1,1,2,115.339,101.915
42,0,42,10,200,4,0,39,51.8581,144.798,3,29.3807,3,29.3807,1,1,3,115.648,80.4715
42,0,42,10,200,4,0,40,-77.1177,86.1488,7,6.67941,7,6.67941,1,1,2,115.34,34.1342
42,0,42,10,200,4,0,41,72.1976,-111.504,1,62.7406,1,62.7406,1,1,2,115.34,101.917
42,0,42,10,200,4,0,42,85.1528,-132.694,1,73.3081,1,73.3081,1,1,2,115.341,101.917
42,0,42,10,200,4,0,43,52.7855,34.615,1,48.9328,1,48.9328,1,1,2,115.341,101.918
42,0,42,10,200,4,0,44,-26.3139,166.392,3,62.0433,3,62.0433,1,1,2,115.342,80.1654
42,0,42,10,200,4,0,45,-61.2895,-132.131,2,24.4182,2,24.4182,1,1,2,115.342,90.8344
42,0,42,10,200,4,0,46,-10.7317,52.1574,9,41.8912,9,41.8912,1,1,5,115.843,12.1344
42,0,42,10,200,4,0,47,33.7908,65.5869,9,30.0376,9,30.0376,1,1,4,115.786,12.0778
42,0,42,10,200,4,0,48,12.7698,33.0939,9,53.2644,9,53.2644,1,1,3,115.65,11.9409
42,0,42,10,200,4,0,49,-46.2869,59.8444,7,30.2504,7,30.2504,1,1,3,115.65,34.4449
42,0,42,10,200,4,0,50,-4.60001,150.661,3,35.0725,3,35.0725,1,1,2,115.345,80.1687
42,0,42,10,200,4,0,51,2.60466,39.6159,9,48.4411,9,48.4411,1,1,4,115.787,12.0783
42,0,42,10,200,4,0,52,6.97273,-169.441,4,42.7024,4,42.7024,1,1,3,115.651,66.2597
42,0,42,10,200,4,0,53,83.5432,-51.9687,1,50.7712,1,50.7712,1,1,2,115.347,101.923
42,0,42,10,200,4,0,54,-30.4628,90.8026,5,7.45916,5,7.45916,1,1,3,115.652,55.8475
42,0,42,10,200,4,0,55,-43.5851,-35.161,2,37.6637,2,37.6637,1,1,2,115.348,90.8399
42,0,42,10,200,4,0,56,-1.52432,-122.775,6,32.2659,6,32.2659,1,1,4,115.787,45.5998
42,0,42,10,200,4,0,57,16.6675,-12.743,1,22.332,1,22.332,1,1,2,115.349,101.925
42,0,42,10,200,4,0,58,-37.7346,-41.094,2,37.5519,2,37.5519,1,1,2,115.35,90.8416
42,0,42,10,200,4,0,59,-79.064,51.9029,8,8.34326,8,8.34326,1,1,3,115.653,23.0248
42,0,42,10,200,4,0,60,-27.3509,-100.707,2,26.8137,2,26.8137,1,1,2,115.351,90.8427
