seed,trial,trial_seed,num_pubs,num_subs,brake_limit,sub_id,sub_lat,sub_lon,sub_broker,optimal_pub_id,optimal_dist,received,received_pub_id,received_dist,stretch,recall
42,1,43,20,50,2,6,-26.8341,-70.3615,1,0,22.1381,1,0,22.1381,1,1
42,1,43,20,50,2,7,-51.347,55.2223,2,7,24.3875,1,1,57.6281,2.36302,0
42,1,43,20,50,2,8,-29.2045,52.266,2,18,39.5681,1,1,43.8277,1.10765,0
42,1,43,20,50,2,9,-4.31524,-98.8775,1,0,16.1423,1,0,16.1423,1,1
42,1,43,20,50,2,10,6.03239,-48.9619,1,8,44.4925,1,8,44.4925,1,1
42,1,43,20,50,2,11,0.913773,58.8228,2,4,26.0979,1,4,26.0979,1,1
42,1,43,20,50,2,12,43.8806,9.99059,2,4,35.5646,1,4,35.5646,1,1
42,1,43,20,50,2,13,77.7554,-146.657,1,15,20.3999,1,6,42.0447,2.06103,0
42,1,43,20,50,2,14,-81.2932,-51.2982,1,17,5.83988,1,2,65.8044,11.2681,0
42,1,43,20,50,2,15,-81.6865,-115.583,1,17,5.48147,1,0,63.8994,11.6573,0
42,1,43,20,50,2,16,28.0324,152.639,2,5,39.0537,1,5,39.0537,1,1
42,1,43,20,50,2,17,-84.7881,-129.715,1,17,3.92546,1,0,69.1477,17.6152,0
42,1,43,20,50,2,18,71.3527,35.791,2,14,34.6536,1,5,41.7071,1.20354,0
42,1,43,20,50,2,19,-20.6753,-115.401,1,0,21.0434,1,0,21.0434,1,1
42,1,43,20,50,2,20,-13.0168,12.2475,2,18,14.8978,1,4,41.961,2.81659,0
42,1,43,20,50,2,21,1.98907,100.298,2,1,13.2986,1,1,13.2986,1,1
42,1,43,20,50,2,22,60.943,81.2841,2,14,25.947,1,5,31.8998,1.22942,0
42,1,43,20,50,2,23,-12.2398,-116.523,1,3,13.7456,1,3,13.7456,1,1
42,1,43,20,50,2,24,-23.2249,146.89,2,19,18.4028,1,2,44.6847,2.42815,0
42,1,43,20,50,2,25,-17.7003,145.615,2,19,17.5557,1,2,50.4468,2.87352,0
42,1,43,20,50,2,26,-41.0359,146.427,2,9,2.70783,1,2,27.53,10.1668,0
42,1,43,20,50,2,27,12.2189,-174.311,1,12,48.1657,1,3,52.0865,1.0814,0
42,1,43,20,50,2,28,-11.7912,-0.0515137,1,18,16.9515,1,4,50.037,2.95178,0
42,1,43,20,50,2,29,-70.4838,-6.16891,1,10,11.3271,1,2,66.4711,5.86834,0
42,1,43,20,50,2,30,64.3251,-124.341,1,15,18.3878,1,6,25.7667,1.4013,0
42,1,43,20,50,2,31,29.1241,4.71494,1,4,33.4701,1,4,33.4701,1,1
42,1,43,20,50,2,32,-75.8509,68.672,2,7,4.06611,1,2,35.238,8.66628,0
42,1,43,20,50,2,33,27.4998,171.004,2,5,41.4815,1,5,41.4815,1,1
42,1,43,20,50,2,34,-37.7685,-166.351,1,12,2.59865,1,3,55.1278,21.2141,0
42,1,43,20,50,2,35,-62.1985,78.4294,2,7,10.7801,1,2,40.2843,3.73692,0
42,1,43,20,50,2,36,12.9483,59.581,2,4,20.1205,1,4,20.1205,1,1
42,1,43,20,50,2,37,-0.636185,-32.2175,1,18,46.7602,1,8,58.034,1.2411,0
42,1,43,20,50,2,38,-19.5674,154.248,2,19,10.6326,1,2,46.7341,4.39537,0
42,1,43,20,50,2,39,15.6297,94.4153,2,1,18.4435,1,1,18.4435,1,1
