seed,trial,trial_seed,num_pubs,num_subs,brake_limit,encrypted,sub_id,sub_lat,sub_lon,optimal_pub_id,optimal_dist,received_pub_id,received_dist,stretch,recall,num_received,latency_ms,latency_per_pub_ms
42,0,42,10,50,4,0,0,86.7168,-101.214,1,63.6232,1,63.6232,1,1,2,111.555,100.494
42,0,42,10,50,4,0,1,-8.20873,6.71545,1,54.2738,1,54.2738,1,1,2,111.556,100.495
42,0,42,10,50,4,0,2,13.2915,19.8832,1,48.5146,1,48.5146,1,1,2,111.557,100.496
42,0,42,10,50,4,0,3,41.1383,46.3946,9,47.2368,9,47.2368,1,1,3,111.634,10.6342
42,0,42,10,50,4,0,4,53.3031,30.1377,1,45.9897,1,45.9897,1,1,2,111.558,100.497
42,0,42,10,50,4,0,5,-40.542,118.655,5,25.3886,5,25.3886,1,1,3,111.635,54.7915
42,0,42,10,50,4,0,6,74.4624,167.545,3,55.2627,3,55.2627,1,1,3,111.635,79.7446
42,0,42,10,50,4,0,7,-44.6247,-136.82,6,12.6427,6,12.6427,1,1,4,111.65,43.6768
42,0,42,10,50,4,0,8,-51.2045,139.912,7,29.7058,7,29.7058,1,1,4,111.651,32.7673
42,0,42,10,50,4,0,9,87.0422,6.18704,1,55.3077,1,55.3077,1,1,2,111.561,100.5
42,0,42,10,50,4,0,10,74.4421,-54.5183,1,43.0174,1,43.0174,1,1,2,111.561,100.5
42,0,42,10,50,4,0,11,-39.1379,-96.6861,2,14.5086,2,14.5086,1,1,2,111.562,90.096
42,0,42,10,50,4,0,12,-2.82805,-39.8475,1,38.8805,1,38.8805,1,1,2,111.563,100.502
42,0,42,10,50,4,0,13,88.5778,23.7459,1,59.6157,1,59.6157,1,1,2,111.563,100.502
42,0,42,10,50,4,0,14,79.2484,20.4303,1,52.1558,1,52.1558,1,1,2,111.603,100.542
42,0,42,10,50,4,0,15,-34.3383,151.93,5,50.1833,5,50.1833,1,1,3,111.637,54.7937
42,0,42,10,50,4,0,16,49.6081,94.9059,3,38.0901,3,38.0901,1,1,3,111.637,79.7468
42,0,42,10,50,4,0,17,-10.6771,-54.2007,1,51.8334,1,51.8334,1,1,2,111.607,100.546
42,0,42,10,50,4,0,18,-32.6055,-119.078,6,10.151,6,10.151,1,1,3,111.638,43.6644
42,0,42,10,50,4,0,19,86.097,-138.605,1,75.5449,1,75.5449,1,1,2,111.608,100.547
42,0,42,10,50,4,0,20,45.5301,-88.8902,1,48.0966,1,48.0966,1,1,2,111.609,100.548
42,0,42,10,50,4,0,21,80.0252,59.985,1,66.0299,1,66.0299,1,1,2,111.61,100.549
42,0,42,10,50,4,0,22,-50.6727,-109.199,2,12.1101,2,12.1101,1,1,2,111.61,90.1446
42,0,42,10,50,4,0,23,51.5826,-23.7544,1,17.5334,1,17.5334,1,1,2,111.611,100.55
42,0,42,10,50,4,0,24,-74.6437,97.2496,7,3.98853,7,3.98853,1,1,2,111.611,32.7277
42,0,42,10,50,4,0,25,81.2163,179.597,3,63.7995,3,63.7995,1,1,3,111.639,79.748
42,0,42,10,50,4,0,26,-68.6344,-95.8432,2,16.0226,2,16.0226,1,1,2,111.613,90.1469
42,0,42,10,50,4,0,27,-48.5447,37.0752,8,28.1695,8,28.1695,1,1,4,111.652,21.5224
42,0,42,10,50,4,0,28,22.1547,-99.9337,6,63.1167,6,63.1167,1,1,3,111.64,43.6663
42,0,42,10,50,4,0,29,-59.5895,22.806,8,15.8025,8,15.8025,1,1,3,111.641,21.5115
42,0,42,10,50,4,0,30,50.2483,-7.85559,1,21.7697,1,21.7697,1,1,2,111.615,100.555
42,0,42,10,50,4,0,31,-2.63178,19.7129,1,58.8516,1,58.8516,1,1,2,111.616,100.555
42,0,42,10,50,4,0,32,-46.4749,153.382,7,39.3912,7,39.3912,1,1,4,111.652,32.7684
42,0,42,10,50,4,0,33,72.7561,21.8393,1,48.4955,1,48.4955,1,1,2,111.617,100.556
42,0,42,10,50,4,0,34,-72.8476,137.706,7,13.8426,7,13.8426,1,1,2,111.617,32.7337
42,0,42,10,50,4,0,35,31.6172,125.365,3,8.56684,3,8.56684,1,1,3,111.642,79.7511
42,0,42,10,50,4,0,36,-65.592,43.2849,8,12.8027,8,12.8027,1,1,3,111.642,21.5131
42,0,42,10,50,4,0,37,2.67494,-52.5295,1,39.3245,1,39.3245,1,1,2,111.619,100.558
42,0,42,10,50,4,0,38,57.0429,-71.4849,1,37.9961,1,37.9961,1,1,2,111.62,100.559
42,0,42,10,50,4,0,39,51.8581,144.798,3,29.3807,3,29.3807,1,1,3,111.643,79.7523
42,0,42,10,50,4,0,40,-77.1177,86.1488,7,6.67941,7,6.67941,1,1,2,111.621,32.7372
42,0,42,10,50,4,0,41,72.1976,-111.504,1,62.7406,1,62.7406,1,1,2,111.621,100.561
42,0,42,10,50,4,0,42,85.1528,-132.694,1,73.3081,1,73.3081,1,1,2,111.622,100.561
42,0,42,10,50,4,0,43,52.7855,34.615,1,48.9328,1,48.9328,1,1,2,111.623,100.562
42,0,42,10,50,4,0,44,-26.3139,166.392,3,62.0433,3,62.0433,1,1,2,111.623,79.7328
42,0,42,10,50,4,0,45,-61.2895,-132.131,2,24.4182,2,24.4182,1,1,2,111.624,90.1583
42,0,42,10,50,4,0,46,-10.7317,52.1574,9,41.8912,9,41.8912,1,1,5,111.667,10.6675
42,0,42,10,50,4,0,47,33.7908,65.5869,9,30.0376,9,30.0376,1,1,4,111.653,10.6533
42,0,42,10,50,4,0,48,12.7698,33.0939,9,53.2644,9,53.2644,1,1,3,111.645,10.6449
42,0,42,10,50,4,0,49,-46.2869,59.8444,7,30.2504,7,30.2504,1,1,3,111.645,32.7614
42,1,43,10,50,4,0,0,-81.2576,8.15625,7,17.9095,7,17.9095,1,1,3,109.394,32.4981
42,1,43,10,50,4,0,1,-61.9798,137.927,2,14.1322,2,14.1322,1,1,3,109.394,88.374
42,1,43,10,50,4,0,2,-35.5547,-168.047,3,55.0813,3,55.0813,1,1,2,109.355,77.497
42,1,43,10,50,4,0,3,-12.52,116.147,1,30.5435,1,30.5435,1,1,2,109.356,98.6978
42,1,43,10,50,4,0,4,69.7657,139.799,5,5.45736,5,5.45736,1,1,3,109.395,55.681
42,1,43,10,50,4,0,5,69.8343,-79.2949,8,23.494,8,23.494,1,1,4,109.421,21.5905
42,1,43,10,50,4,0,6,-66.621,-43.2769,7,42.8264,7,42.8264,1,1,2,109.358,32.4628
42,1,43,10,50,4,0,7,-85.9185,-83.312,7,32.4873,7,32.4873,1,1,3,109.396,32.5008
42,1,43,10,50,4,0,8,-27.2091,7.42296,4,56.1263,4,56.1263,1,1,3,109.397,67.1869
42,1,43,10,50,4,0,9,-13.4045,163.284,9,34.1051,9,34.1051,1,1,4,109.421,10.406
42,1,43,10,50,4,0,10,-66.4982,-72.637,0,49.3963,0,49.3963,1,1,1,109.312,109.277
42,1,43,10,50,4,0,11,68.006,126.007,5,10.2474,5,10.2474,1,1,3,109.398,55.6843
42,1,43,10,50,4,0,12,-2.89001,170.066,9,46.6649,9,46.6649,1,1,4,109.422,10.4066
42,1,43,10,50,4,0,13,12.6836,-91.6352,0,32.1274,0,32.1274,1,1,1,109.314,109.279
42,1,43,10,50,4,0,14,-39.053,118.175,9,20.8216,9,20.8216,1,1,5,109.437,10.4219
42,1,43,10,50,4,0,15,-63.201,-60.6212,0,50.1043,0,50.1043,1,1,1,109.316,109.281
42,1,43,10,50,4,0,16,-26.8341,-70.3615,0,22.1381,0,22.1381,1,1,1,109.317,109.282
42,1,43,10,50,4,0,17,-51.347,55.2223,7,24.3875,7,24.3875,1,1,3,109.4,32.5048
42,1,43,10,50,4,0,18,-29.2045,52.266,1,43.8277,1,43.8277,1,1,2,109.365,98.7065
42,1,43,10,50,4,0,19,-4.31524,-98.8775,0,16.1423,0,16.1423,1,1,1,109.319,109.284
42,1,43,10,50,4,0,20,6.03239,-48.9619,8,44.4925,8,44.4925,1,1,2,109.365,21.5351
42,1,43,10,50,4,0,21,0.913773,58.8228,4,26.0979,4,26.0979,1,1,3,109.401,67.191
42,1,43,10,50,4,0,22,43.8806,9.99059,4,35.5646,4,35.5646,1,1,3,109.402,67.1916
42,1,43,10,50,4,0,23,77.7554,-146.657,6,42.0447,6,42.0447,1,1,3,109.402,45.2041
42,1,43,10,50,4,0,24,-81.2932,-51.2982,7,30.2625,7,30.2625,1,1,3,109.403,32.5074
42,1,43,10,50,4,0,25,-81.6865,-115.583,7,43.638,7,43.638,1,1,2,109.369,32.4735
42,1,43,10,50,4,0,26,28.0324,152.639,5,39.0537,5,39.0537,1,1,3,109.404,55.6901
42,1,43,10,50,4,0,27,-84.7881,-129.715,7,42.0172,7,42.0172,1,1,2,109.37,32.4748
42,1,43,10,50,4,0,28,71.3527,35.791,5,41.7071,5,41.7071,1,1,4,109.423,55.7093
42,1,43,10,50,4,0,29,-20.6753,-115.401,0,21.0434,0,21.0434,1,1,1,109.327,109.292
42,1,43,10,50,4,0,30,-13.0168,12.2475,4,41.961,4,41.961,1,1,3,109.405,67.1954
42,1,43,10,50,4,0,31,1.98907,100.298,1,13.2986,1,13.2986,1,1,2,109.373,98.7151
42,1,43,10,50,4,0,32,60.943,81.2841,5,31.8998,5,31.8998,1,1,4,109.424,55.7099
42,1,43,10,50,4,0,33,-12.2398,-116.523,3,13.7456,3,13.7456,1,1,2,109.375,77.5167
42,1,43,10,50,4,0,34,-23.2249,146.89,9,20.4178,9,20.4178,1,1,4,109.425,10.4092
