seed,trial,trial_seed,num_pubs,num_subs,brake_limit,encrypted,sub_id,sub_lat,sub_lon,optimal_pub_id,optimal_dist,received_pub_id,received_dist,stretch,recall,num_received,latency_ms,latency_per_pub_ms
42,0,42,10,50,4,0,0,86.7168,-101.214,1,63.6232,1,63.6232,1,1,2,350.845,231.467
42,0,42,10,50,4,0,1,-8.20873,6.71545,1,54.2738,1,54.2738,1,1,2,350.847,231.468
42,0,42,10,50,4,0,2,13.2915,19.8832,1,48.5146,1,48.5146,1,1,2,350.847,231.469
42,0,42,10,50,4,0,3,41.1383,46.3946,9,47.2368,9,47.2368,1,1,3,350.938,10.817
42,0,42,10,50,4,0,4,53.3031,30.1377,1,45.9897,1,45.9897,1,1,2,350.849,231.47
42,0,42,10,50,4,0,5,-40.542,118.655,5,25.3886,5,25.3886,1,1,3,350.938,95.6044
42,0,42,10,50,4,0,6,74.4624,167.545,3,55.2627,3,55.2627,1,1,3,350.939,155.181
42,0,42,10,50,4,0,7,-44.6247,-136.82,6,12.6427,6,12.6427,1,1,4,350.956,82.8405
42,0,42,10,50,4,0,8,-51.2045,139.912,7,29.7058,7,29.7058,1,1,4,350.956,70.5066
42,0,42,10,50,4,0,9,87.0422,6.18704,1,55.3077,1,55.3077,1,1,2,350.852,231.473
42,0,42,10,50,4,0,10,74.4421,-54.5183,1,43.0174,1,43.0174,1,1,2,350.853,231.474
42,0,42,10,50,4,0,11,-39.1379,-96.6861,2,14.5086,2,14.5086,1,1,2,350.853,165.421
42,0,42,10,50,4,0,12,-2.82805,-39.8475,1,38.8805,1,38.8805,1,1,2,350.854,231.475
42,0,42,10,50,4,0,13,88.5778,23.7459,1,59.6157,1,59.6157,1,1,2,350.854,231.476
42,0,42,10,50,4,0,14,79.2484,20.4303,1,52.1558,1,52.1558,1,1,2,350.905,231.526
42,0,42,10,50,4,0,15,-34.3383,151.93,5,50.1833,5,50.1833,1,1,3,350.94,95.6066
42,0,42,10,50,4,0,16,49.6081,94.9059,3,38.0901,3,38.0901,1,1,3,350.941,155.184
42,0,42,10,50,4,0,17,-10.6771,-54.2007,1,51.8334,1,51.8334,1,1,2,350.909,231.531
42,0,42,10,50,4,0,18,-32.6055,-119.078,6,10.151,6,10.151,1,1,3,350.942,82.8268
42,0,42,10,50,4,0,19,86.097,-138.605,1,75.5449,1,75.5449,1,1,2,350.911,231.532
42,0,42,10,50,4,0,20,45.5301,-88.8902,1,48.0966,1,48.0966,1,1,2,350.912,231.533
42,0,42,10,50,4,0,21,80.0252,59.985,1,66.0299,1,66.0299,1,1,2,350.912,231.534
42,0,42,10,50,4,0,22,-50.6727,-109.199,2,12.1101,2,12.1101,1,1,2,350.913,165.481
42,0,42,10,50,4,0,23,51.5826,-23.7544,1,17.5334,1,17.5334,1,1,2,350.914,231.535
42,0,42,10,50,4,0,24,-74.6437,97.2496,7,3.98853,7,3.98853,1,1,2,350.915,70.4649
42,0,42,10,50,4,0,25,81.2163,179.597,3,63.7995,3,63.7995,1,1,3,350.943,155.185
